,station_name,betweenness
940GZZLUBST,Baker Street,36297.77579365079
940GZZLUBLG,Bethnal Green,33670.10833333329
940GZZLUFYR,Finchley Road,32064.80039682536
940GZZLUBNK,Bank,30443.441666666706
940GZZLUGPK,Green Park,30442.438095238118
940GZZLUWLO,Waterloo,30219.89999999999
940GZZLULVT,Liverpool Street,29820.74166666662
940GZZLUWSM,Westminster,27623.541666666613
940GZZLUBND,Bond Street,24635.653174603227
910GWHMDSTD,West Hampstead,22536.658333333307
940GZZLUWHP,West Hampstead,22312.658333333307
940GZZLUMED,Mile End,20274.61666666666
940GZZLUSTD,Stratford,20248.45000000001
910GBTHNLGR,Bethnal Green,20163.341666666685
910GBRBY,Brondesbury,15843.133333333328
910GWLSDJHL,none,15608.133333333328
910GBRBYPK,Brondesbury Park,15506.133333333328
910GKENR,Kensal Rise,15169.133333333328
940GZZLUERC,Edgware Road,13864.592063492039
940GZZLUECT,Earl's Court,13742.065873015883
940GZZLUWHM,West Ham,13680.616666666665
940GZZLUKSX,King's Cross St. Pancras,13358.850000000035
910GSTFD,Stratford (Rail),12398.341666666664
940GZZLUWYP,Wembley Park,12313.008730158732
940GZZLUPAC,Paddington (Praed St),11846.166666666635
910GLIVST,Liverpool Street (Rail),11767.841666666664
940GZZLUEUS,Euston,10123.883333333333
940GZZLUNHG,Notting Hill Gate,9844.499999999987
940GZZLUSKS,South Kensington,9657.315873015881
940GZZLUPRD,Preston Road,9624.508730158732
940GZZLUHSD,Hammersmith,9614.065873015876
940GZZLUBSC,Barons Court,9596.065873015876
940GZZLUHOH,Harrow-on-the-Hill,9520.508730158732
940GZZLUGTR,Gloucester Road,9415.315873015872
940GZZLUVIC,Victoria,9324.007936507978
940GZZLUNKP,Northwick Park,9282.50873015873
910GCAMHTH,Cambridge Heath,9130.0
910GLONFLDS,London Fields,8736.0
940GZZLUCTN,Camden Town,8439.0
910GHAKNYNM,Hackney Downs,8424.0
940GZZLUTNG,Turnham Green,8131.90793650793
910GCNNB,Canonbury,8037.841666666666
940GZZLULYN,Leyton,7942.0
940GZZLUMGT,Moorgate,7846.5166666666655
910GGOSPLOK,Gospel Oak,7676.5250000000015
940GZZLULYS,Leytonstone,7577.5
940GZZLUCGT,Canning Town,7346.450000000003
940GZZLULNB,London Bridge,7332.983333333344
940GZZLUCYF,Canary Wharf,7269.366666666672
910GFNCHLYR,Finchley Road & Frognal,7164.025
910GHACKNYW,Hackney Wick,7111.8416666666635
940GZZLUOXC,Oxford Circus,7036.795238095255
910GHOMRTON,Homerton,6858.374999999998
910GHMPSTDH,Hampstead Heath,6843.524999999998
940GZZLUBWT,Bayswater,6808.000000000013
910GHACKNYC,Hackney Central,6654.0250000000015
940GZZLUACT,Acton Town,6617.907936507936
940GZZLUBMY,Bermondsey,6611.033333333338
910GDALSKLD,Dalston Kingsland,6512.641666666669
940GZZLUSSQ,Sloane Square,6494.341269841302
940GZZLUCWR,Canada Water,6327.366666666671
910GSHPDSB,Shepherd's Bush (Rail),6169.133333333337
940GZZDLCGT,Canning Town (DLR),6067.316666666666
910GKENOLYM,none,5786.133333333335
940GZZLUHAI,Highbury & Islington,5690.0
910GDALS,Dalston Junction,5639.866666666665
910GSURREYQ,Surrey Quays,5557.633333333335
910GMRYLAND,Maryland,5512.0
910GRCTRYRD,Rectory Road,5512.0
910GWBRMPTN,none,5403.133333333335
940GZZLUFPK,Finsbury Park,5344.0
940GZZLUWRR,Warren Street,5290.58333333333
910GHAGGERS,Haggerston,5256.866666666665
940GZZLUHSK,High Street Kensington,5108.499999999998
940GZZLUWKA,Warwick Avenue,5100.0
910GSTKNWNG,Stoke Newington,5100.0
910GHARLSDN,none,5100.0
910GFRSTGT,Forest Gate,5100.0
940GZZLUGPS,Great Portland Street,5071.883333333333
940GZZLUESQ,Euston Square,5021.183333333336
910GCSEAH,Imperial Wharf,5020.133333333335
910GHOXTON,Hoxton,4873.866666666665
940GZZLUMVL,Maida Vale,4686.0
910GSTNBGPK,none,4686.0
940GZZLUNHA,North Harrow,4686.0
910GSTMFDHL,Stamford Hill,4686.0
910GMANRPK,Manor Park,4686.0
940GZZLUPLW,Plaistow,4686.0
910GCLPHMJ1,Clapham Junction,4656.133333333335
940GZZLURYL,Rayners Lane,4649.25873015873
940GZZLUWHW,West Harrow,4644.00873015873
940GZZLUHPK,Holland Park,4611.083333333335
940GZZLUSKW,Stockwell,4500.833333333333
910GSHRDHST,Shoreditch High Street,4490.866666666665
940GZZLUSNB,Snaresbrook,4440.0
940GZZDLCAN,Canary Wharf,4380.5
910GWNDSWRD,Wandsworth Road,4312.133333333335
940GZZLUSEA,South Ealing,4270.0
910GUPRHLWY,Upper Holloway,4270.0
910GWMBY,none,4270.0
910GILFORD,Ilford,4270.0
940GZZLUUPK,Upton Park,4270.0
940GZZLUKSH,Kentish Town,4270.0
940GZZLUPNR,Pinner,4270.0
910GSEVNSIS,Seven Sisters (Rail),4270.0
940GZZLUKPK,Kilburn Park,4270.0
940GZZLUSBC,Shepherd's Bush,4228.583333333335
910GWCHAPEL,Whitechapel (Rail),4130.866666666665
940GZZLUSWF,South Woodford,4026.0
910GCLPHHS,Clapham High Street,3993.133333333335
910GKNTSHTW,Kentish Town West,3881.924999999997
940GZZLUWCY,White City,3870.08333333333
940GZZLUEHM,East Ham,3852.0
940GZZLUTFP,Tufnell Park,3852.0
910GCROUCHH,Crouch Hill,3852.0
940GZZDLHEQ,Heron Quays,3852.0
910GNWEMBLY,none,3852.0
910GSVNKNGS,Seven Kings,3852.0
910GBRUCGRV,Bruce Grove,3852.0
940GZZLUQPS,Queen's Park,3852.0
910GNEWXGTE,New Cross Gate,3852.0
940GZZLUNFD,Northfields,3852.0
940GZZLUNWH,Northwood Hills,3852.0
940GZZDLWHM,West Ham (DLR),3815.5
910GSHADWEL,Shadwell (Rail),3793.866666666665
910GDENMRKH,Denmark Hill,3762.633333333335
940GZZLUFCN,Farringdon,3744.0916666666626
940GZZLUAGL,Angel,3744.0916666666626
910GCMDNRD,Camden Road,3742.441666666664
940GZZLUBBN,Barbican,3741.6749999999965
940GZZLUODS,Old Street,3741.674999999996
940GZZLUHPC,Hyde Park Corner,3680.4746031746067
940GZZLUWOF,Woodford,3644.5
