,station_name,closeness
940GZZLUGPK,Green Park,0.09489685124864278
940GZZLUBND,Bond Street,0.09373659373659374
940GZZLUWSM,Westminster,0.09319684367669012
940GZZLUBST,Baker Street,0.09289965986394558
940GZZLUWLO,Waterloo,0.09238900634249471
940GZZLUBNK,Bank,0.092
940GZZLUOXC,Oxford Circus,0.09161425576519916
940GZZLULVT,Liverpool Street,0.09001029866117405
940GZZLURGP,Regent's Park,0.08927477017364657
940GZZLUFYR,Finchley Road,0.08916547643338094
940GZZLUVIC,Victoria,0.0890020366598778
940GZZLUEMB,Embankment,0.08869494621473513
940GZZLUGPS,Great Portland Street,0.08869494621473513
940GZZLUHPC,Hyde Park Corner,0.08847944928123101
940GZZLUMGT,Moorgate,0.08830066680137401
940GZZLUKSX,King's Cross St. Pancras,0.08817594834543988
940GZZLUESQ,Euston Square,0.08794526061581807
940GZZLUPCC,Piccadilly Circus,0.08778625954198473
940GZZLUERC,Edgware Road,0.08764540713999197
940GZZLUMBA,Marble Arch,0.08764540713999197
940GZZLUSJP,St. James's Park,0.08729524570515382
940GZZLUBLG,Bethnal Green,0.08713858424725822
940GZZLUTCR,Tottenham Court Road,0.0870691372783423
940GZZLUFCN,Farringdon,0.08680969408025427
940GZZLUAGL,Angel,0.08680969408025427
940GZZLUODS,Old Street,0.08679245283018867
940GZZLUBBN,Barbican,0.08679245283018867
940GZZLUCHX,Charing Cross,0.08638070764973314
940GZZLUHBN,Holborn,0.0862954186413902
940GZZLUMYB,Marylebone,0.0861762965884441
940GZZLUSWK,Southwark,0.08570307903510492
940GZZLUWRR,Warren Street,0.08551859099804306
940GZZLULNB,London Bridge,0.08540160250146571
940GZZLUSPU,St. Paul's,0.08523503023210455
940GZZLUCHL,Chancery Lane,0.08515198752922837
940GZZLUKNG,Kennington,0.08510223953261928
940GZZLUSJW,St. John's Wood,0.08505254963020631
940GZZDLBNK,Bank (DLR),0.08500291772028788
940GZZLULBN,Lambeth North,0.08465710964742348
940GZZLUWHP,West Hampstead,0.08452611218568665
940GZZLUEUS,Euston,0.08436293436293436
940GZZLULSQ,Leicester Square,0.0838449731389102
940GZZLUSSQ,Sloane Square,0.08366838981428298
940GZZLUKNB,Knightsbridge,0.08320639756283321
940GZZLUWYP,Wembley Park,0.08300094966761633
940GZZLURSQ,Russell Square,0.08292220113851992
940GZZLUADE,Aldgate East,0.0827965138309966
940GZZLUPAC,Paddington (Praed St),0.08278082970259519
910GBTHNLGR,Bethnal Green,0.08273381294964029
940GZZLUALD,Aldgate,0.08273381294964029
940GZZLUMED,Mile End,0.0825930825930826
940GZZLULGT,Lancaster Gate,0.0825930825930826
940GZZLUPCO,Pimlico,0.08218920443859319
940GZZLUSWC,Swiss Cottage,0.08191190253045923
940GZZLUERB,Edgware Road,0.0816822429906542
940GZZLUTMP,Temple,0.08162121778109824
940GZZLUHAI,Highbury & Islington,0.08146905294556302
940GZZLUGDG,Goodge Street,0.0811664190193165
940GZZLUCAR,Caledonian Road,0.08110616184112843
940GZZLUPAH,Paddington,0.08082115775846126
940GZZLUCGN,Covent Garden,0.08067195864869854
940GZZLUBMY,Bermondsey,0.08040478380864766
910GWHMDSTD,West Hampstead,0.08027185892725937
940GZZLUOVL,Oval,0.07945454545454546
940GZZLUSKS,South Kensington,0.07944010179967279
940GZZLUEAC,Elephant & Castle,0.07942566339512905
940GZZDLSHA,Shadwell,0.0793968023255814
940GZZLUBOR,Borough,0.07916666666666666
940GZZLUVXL,Vauxhall,0.07852650494159928
940GZZLUQWY,Queensway,0.07847010235230742
940GZZLUSTD,Stratford,0.07847010235230742
940GZZLUCTN,Camden Town,0.07838565022421524
940GZZLUWPL,Whitechapel,0.07827332975102991
940GZZLUBWT,Bayswater,0.07814735336194564
910GLIVST,Liverpool Street (Rail),0.07813338101197927
940GZZLUMTC,Mornington Crescent,0.07810545129579982
940GZZLUKBN,Kilburn,0.07802178182467416
940GZZLUPRD,Preston Road,0.07763368271451412
940GZZLUSKW,Stockwell,0.07753726046841732
940GZZLUBWR,Bow Road,0.07711311099347097
910GCAMHTH,Cambridge Heath,0.07701797673598872
940GZZLUNHG,Notting Hill Gate,0.07695016728297235
940GZZLUWKA,Warwick Avenue,0.07678791073625021
940GZZLUKBY,Kingsbury,0.07673397717295874
940GZZLUNDN,Neasden,0.07672050561797752
940GZZLUTWH,Tower Hill,0.07662633701560582
940GZZLUCWR,Canada Water,0.0765458048695043
940GZZLUSGN,Stepney Green,0.07647882394119707
940GZZLUGTR,Gloucester Road,0.07574969665453285
940GZZLUFPK,Finsbury Park,0.07571032571032571
940GZZLUBKF,Blackfriars,0.07563170647282796
