,station_name,degree
940GZZLUKSX,King's Cross St. Pancras,0.016018306636155607
940GZZLUBST,Baker Street,0.016018306636155607
940GZZLUOXC,Oxford Circus,0.013729977116704806
940GZZLUGPK,Green Park,0.013729977116704806
940GZZLUBNK,Bank,0.013729977116704806
940GZZLUECT,Earl's Court,0.013729977116704806
940GZZLUWLO,Waterloo,0.013729977116704806
940GZZLUTNG,Turnham Green,0.011441647597254004
940GZZDLCGT,Canning Town (DLR),0.011441647597254004
940GZZLULVT,Liverpool Street,0.011441647597254004
940GZZLUWHM,West Ham,0.011441647597254004
910GWLSDJHL,none,0.011441647597254004
940GZZLUFPK,Finsbury Park,0.009153318077803204
940GZZLUERC,Edgware Road,0.009153318077803204
940GZZLUEUS,Euston,0.009153318077803204
940GZZLUVIC,Victoria,0.009153318077803204
940GZZLUPAC,Paddington (Praed St),0.009153318077803204
940GZZLUTCR,Tottenham Court Road,0.009153318077803204
940GZZLUCTN,Camden Town,0.009153318077803204
940GZZLUFYR,Finchley Road,0.009153318077803204
940GZZLUEMB,Embankment,0.009153318077803204
940GZZLULNB,London Bridge,0.009153318077803204
940GZZLUHBN,Holborn,0.009153318077803204
940GZZLULSQ,Leicester Square,0.009153318077803204
940GZZLUHSD,Hammersmith,0.009153318077803204
940GZZLUWSM,Westminster,0.009153318077803204
940GZZLUPCC,Piccadilly Circus,0.009153318077803204
940GZZLUACT,Acton Town,0.009153318077803204
940GZZLUSKW,Stockwell,0.009153318077803204
940GZZLUBND,Bond Street,0.009153318077803204
940GZZDLPOP,Poplar,0.009153318077803204
940GZZLUWYP,Wembley Park,0.009153318077803204
940GZZLUMED,Mile End,0.009153318077803204
940GZZLUMGT,Moorgate,0.009153318077803204
910GSURREYQ,Surrey Quays,0.009153318077803204
940GZZLUNHG,Notting Hill Gate,0.009153318077803204
940GZZLUKNG,Kennington,0.006864988558352403
940GZZLUNAN,North Acton,0.006864988558352403
940GZZLULYS,Leytonstone,0.006864988558352403
910GSYDENHM,Sydenham,0.006864988558352403
940GZZLUHNX,Hatton Cross,0.006864988558352403
940GZZLUHRC,Heathrow Terminals 2 & 3,0.006864988558352403
940GZZLUMPK,Moor Park,0.006864988558352403
940GZZLUSTD,Stratford,0.006864988558352403
940GZZDLWIQ,West India Quay,0.006864988558352403
940GZZDLCAN,Canary Wharf,0.006864988558352403
940GZZLUBLG,Bethnal Green,0.006864988558352403
940GZZDLWFE,Westferry,0.006864988558352403
940GZZDLSHA,Shadwell,0.006864988558352403
940GZZLUFYC,Finchley Central,0.006864988558352403
940GZZLUCAL,Chalfont & Latimer,0.006864988558352403
940GZZLURYL,Rayners Lane,0.006864988558352403
940GZZLUHSK,High Street Kensington,0.006864988558352403
940GZZLUHOH,Harrow-on-the-Hill,0.006864988558352403
940GZZLUWHP,West Hampstead,0.006864988558352403
940GZZLUSKS,South Kensington,0.006864988558352403
940GZZLUCHX,Charing Cross,0.006864988558352403
940GZZLUECM,Ealing Common,0.006864988558352403
940GZZLUTWH,Tower Hill,0.006864988558352403
910GHAKNYNM,Hackney Downs,0.006864988558352403
940GZZLUCYF,Canary Wharf,0.006864988558352403
940GZZLUCGT,Canning Town,0.006864988558352403
910GEDMNGRN,Edmonton Green,0.006864988558352403
940GZZDLWHM,West Ham (DLR),0.006864988558352403
940GZZDLSTD,Stratford (DLR 1),0.006864988558352403
910GSTFD,Stratford (Rail),0.006864988558352403
910GWHMDSTD,West Hampstead,0.006864988558352403
910GROMFORD,Romford,0.006864988558352403
910GBTHNLGR,Bethnal Green,0.006864988558352403
940GZZLUEAC,Elephant & Castle,0.006864988558352403
940GZZLUADE,Aldgate East,0.006864988558352403
910GGOSPLOK,Gospel Oak,0.006864988558352403
940GZZLUBSC,Barons Court,0.006864988558352403
940GZZLUERB,Edgware Road,0.006864988558352403
940GZZLUWOF,Woodford,0.006864988558352403
940GZZLUWRR,Warren Street,0.006864988558352403
910GCNNB,Canonbury,0.006864988558352403
940GZZLUGTR,Gloucester Road,0.006864988558352403
940GZZDLPRE,Prince Regent,0.004576659038901602
940GZZLUSJW,St. John's Wood,0.004576659038901602
940GZZLUSWK,Southwark,0.004576659038901602
940GZZLUBMY,Bermondsey,0.004576659038901602
940GZZLUCWR,Canada Water,0.004576659038901602
940GZZDLDEP,Deptford Bridge,0.004576659038901602
940GZZDLRAL,Royal Albert,0.004576659038901602
940GZZLUNGW,North Greenwich,0.004576659038901602
940GZZDLALL,All Saints,0.004576659038901602
940GZZDLDEV,Devons Road,0.004576659038901602
940GZZDLBPK,Beckton Park,0.004576659038901602
940GZZDLBLA,Blackwall,0.004576659038901602
940GZZDLCYP,Cyprus,0.004576659038901602
940GZZDLPUD,Pudding Mill Lane,0.004576659038901602
940GZZDLGAL,Gallions Reach,0.004576659038901602
940GZZDLEIN,East India,0.004576659038901602
940GZZDLBOW,Bow Church,0.004576659038901602
940GZZDLCUS,Custom House,0.004576659038901602
940GZZDLELV,Elverson Road,0.004576659038901602
910GCAMHTH,Cambridge Heath,0.004576659038901602
940GZZDLGRE,Greenwich,0.004576659038901602
940GZZLUQPS,Queen's Park,0.004576659038901602
940GZZLUGGN,Golders Green,0.004576659038901602
940GZZLUBTX,Brent Cross,0.004576659038901602
940GZZLUHCL,Hendon Central,0.004576659038901602
940GZZLUCND,Colindale,0.004576659038901602
940GZZLUBTK,Burnt Oak,0.004576659038901602
910GKLBRNHR,Kilburn High Road,0.004576659038901602
940GZZLUKPK,Kilburn Park,0.004576659038901602
910GQPRK,none,0.004576659038901602
910GKENSLG,none,0.004576659038901602
940GZZLUBZP,Belsize Park,0.004576659038901602
940GZZLUKSL,Kensal Green,0.004576659038901602
940GZZLUWJN,Willesden Junction,0.004576659038901602
910GHARLSDN,none,0.004576659038901602
940GZZLUHSN,Harlesden,0.004576659038901602
910GSTNBGPK,none,0.004576659038901602
940GZZLUSGP,Stonebridge Park,0.004576659038901602
910GWMBY,none,0.004576659038901602
940GZZLUWYC,Wembley Central,0.004576659038901602
940GZZLUHTD,Hampstead,0.004576659038901602
940GZZLUCFM,Chalk Farm,0.004576659038901602
940GZZDLCUT,Cutty Sark,0.004576659038901602
940GZZLUCSD,Colliers Wood,0.004576659038901602
940GZZDLISL,Island Gardens,0.004576659038901602
940GZZDLMUD,Mudchute,0.004576659038901602
940GZZDLCLA,Crossharbour,0.004576659038901602
940GZZDLSOQ,South Quay,0.004576659038901602
940GZZDLHEQ,Heron Quays,0.004576659038901602
940GZZDLLIM,Limehouse,0.004576659038901602
940GZZDLBNK,Bank (DLR),0.004576659038901602
940GZZLUSWN,South Wimbledon,0.004576659038901602
940GZZLUTBY,Tooting Broadway,0.004576659038901602
940GZZLUAGL,Angel,0.004576659038901602
940GZZLUTBC,Tooting Bec,0.004576659038901602
