node,degree centrality,betweenness centrality,PageRank centrality,Closeness Centrality
Cambridge Heath,28064,0.1581422305764411,0.0019155418776038106,5.203565498690399e-06
Bethnal Green,58216,0.1574624060150376,0.002455793961153988,5.14848931803664e-06
London Fields,28486,0.15949248120300752,0.0024539451171398277,5.304380398441982e-06
Hackney Downs,28926,0.17202380952380952,0.002990235217436611,5.4252783466182125e-06
Rectory Road,7778,0.043565162907268175,0.0013264208749361854,5.355367815698765e-06
Stoke Newington,7801,0.040585839598997496,0.0014355068122472612,5.288866378298279e-06
Stamford Hill,7727,0.03765664160401003,0.0011509025359198852,5.223763705556185e-06
Seven Sisters,104061,0.08794172932330828,0.005211748743617465,5.2208854159617115e-06
Bruce Grove,24089,0.043618421052631584,0.0021778851610004487,4.9185429042899015e-06
White Hart Lane,22225,0.03887218045112782,0.0028409370214483236,4.661096237164594e-06
Silver Street,19482,0.03410087719298246,0.003414942018953128,4.451464552425772e-06
Edmonton Green,15984,0.029404761904761906,0.003968193443130653,4.285625726319812e-06
Southbury,5020,0.014765037593984964,0.0022703018356264007,4.2332744622437054e-06
Turkey Street,3017,0.00986842105263158,0.0021697167822021394,4.1967306461051485e-06
Theobalds Grove,1221,0.004946741854636592,0.001526904286634983,4.18046717264115e-06
Cheshunt,287,0.0,0.0006814966466310952,4.175469992729149e-06
Liverpool Street,388437,0.04866854636591479,0.009629358189742972,5.1149291329126095e-06
Enfield Town,2552,0.0,0.0010830923680253618,4.168137498186339e-06
Bush Hill Park,6614,0.004946741854636592,0.002155170056704129,4.212837789020156e-06
Romford,24987,0.03519110275689223,0.0035909967457670292,3.938750887585204e-06
Emerson Park,2395,0.03950501253132832,0.0011127197635324333,3.956139429426384e-06
Upminster,2541,0.044144736842105264,0.0014604168022861203,3.973988417771016e-06
Clapton,21201,0.1362155388471178,0.0023258139424967425,5.406337706425293e-06
St James Street,19966,0.1362562656641604,0.002259157699283948,5.405309132467073e-06
Walthamstow Central,31552,0.14458959899749374,0.0035415411910629216,5.424384079156084e-06
Wood Street,12513,0.009855889724310778,0.0022053602620379894,5.2282609042308606e-06
Highams Park,7787,0.0049404761904761904,0.001929698375385374,5.0829314577112935e-06
Chingford,2277,0.0,0.0008561075048635482,5.024919265564332e-06
Richmond,10554,0.0,0.0012014497160688768,4.252938634401606e-06
Kew Gardens,23067,0.004893483709273183,0.002121545426126398,4.452281994318242e-06
Gunnersbury,41549,0.0937092731829574,0.0028268812392038415,4.712873595970154e-06
South Acton,27733,0.09392857142857143,0.0019443253560965097,4.897092798010899e-06
Harrow & Wealdstone,8588,0.028984962406015037,0.002373073540741657,4.212764313572394e-06
Kenton,11065,0.0337280701754386,0.002594275199746264,4.30276639480928e-06
South Kenton,12640,0.038446115288220555,0.002532696089910881,4.411152836818455e-06
North Wembley,14184,0.04313909774436091,0.0024266778763026475,4.5397560167145644e-06
Wembley Central,16611,0.04780701754385965,0.0023689699228623016,4.69143686689426e-06
Stonebridge Park,19259,0.052449874686716795,0.0022482606959182126,4.889979196683753e-06
Harlesden,21228,0.05706766917293234,0.0018830349175331554,5.129335291747743e-06
Willesden Junction,91559,0.2481234335839599,0.004876730125550657,5.418645279345997e-06
Kensal Green,64791,0.032882205513784464,0.003088947708701761,4.739134574313635e-06
Queen's Park,72896,0.0649812030075188,0.0033077015994621784,4.5402639918337e-06
Kilburn High Road,71313,0.05385651629072682,0.0026579568964488266,3.986661626861927e-06
Acton Central,29374,0.09710526315789474,0.0019107685863708826,5.1355473148566185e-06
Kensal Rise,20481,0.21859962406015038,0.0016017930799489405,5.495020048786711e-06
Brondesbury Park,19776,0.22003446115288222,0.0017639683812726132,5.5796940871340095e-06
Brondesbury,19639,0.22148182957393484,0.0017033861972722188,5.671385732211344e-06
West Hampstead,52615,0.34962719298245615,0.003653189194445189,5.769686324800539e-06
Finchley Road & Frognal,14909,0.2867042606516291,0.0017665565526245558,5.7307077942754985e-06
Hampstead Heath,14637,0.2861152882205514,0.0021946675232849227,5.696565083761652e-06
Gospel Oak,15028,0.2947619047619048,0.002627252722044903,5.677477814545755e-06
Kentish Town West,10490,0.05350250626566416,0.001764303506737582,5.5842566959949505e-06
Camden Road,12091,0.05197368421052632,0.0015821424277534532,5.545316513704425e-06
Caledonian Road & Barnsbury,16571,0.05067355889724311,0.0014304414926241734,5.4871396125580105e-06
Highbury & Islington,262395,0.051149749373433584,0.007435367078269751,5.42440842757791e-06
Canonbury,46924,0.049755639097744365,0.00228144058872351,5.230642089954307e-06
Dalston Kingsland,34423,0.008408521303258146,0.0020047885790257366,4.949357616069644e-06
Hackney Central,31734,0.007042606516290727,0.0020032980878653705,4.82519360968729e-06
Homerton,29435,0.007355889724310777,0.0018431717042268797,4.842419146218311e-06
Hackney Wick,28432,0.008389724310776944,0.0015324912002328702,4.9154325633496646e-06
Stratford,364387,0.1367700501253133,0.011921161618851074,5.0270105676433726e-06
Whitechapel,59800,0.07836779448621554,0.0033649697944287005,5.263671102669352e-06
Shadwell,87856,0.08986528822055138,0.004210789373582855,4.9957265930257435e-06
Wapping,46719,0.024285714285714285,0.002147387977767242,4.56515453607336e-06
Rotherhithe,46548,0.020924185463659147,0.0019237151802093846,4.255640223409196e-06
Canada Water,212487,0.054953007518797,0.006815592560620074,4.135742342590338e-06
Surrey Quays,70930,0.06980576441102757,0.0036765400459238718,3.972661336480741e-06
New Cross Gate,31850,0.03905075187969925,0.0022815825020634345,3.735491037627797e-06
Shoreditch High Street,26460,0.03717105263157895,0.0019760730390553562,5.202273768200415e-06
New Cross,2467,0.0,0.0004851303104958694,3.934200380608314e-06
Sydenham,16549,0.02199561403508772,0.00316662769801135,3.1788581771894753e-06
Crystal Palace,2434,0.0,0.0007723463079750542,3.1545116642051357e-06
Queens Road Peckham,28251,0.038681077694235594,0.001932857363578191,3.944089183350205e-06
Peckham Rye,26457,0.03807017543859649,0.0020918602774304563,3.940083621182709e-06
Denmark Hill,26322,0.03786967418546366,0.0022216069235500295,3.955882260443341e-06
Clapham High Street,26030,0.037979323308270675,0.002233817904653174,3.985214098503872e-06
Wandsworth Road,24805,0.057155388471177945,0.0020691469490367906,4.042182723292675e-06
Clapham Junction,26210,0.04174185463659148,0.001953362644706846,4.105192899678887e-06
West Brompton,99786,0.07218358395989975,0.0036390436483436806,4.31899216663311e-06
