node,degree centrality,betweenness centrality,PageRank centrality,Closeness Centrality
Cambridge Heath,0.005,0.029591442079223988,0.002019104371687796,0.0930448941614329
Bethnal Green,0.0075,0.03690393959284932,0.0026134449710075746,0.10070493454179255
London Fields,0.005,0.025732837233777076,0.0021285498956137646,0.08684324793747286
Hackney Downs,0.0075,0.024208132615087485,0.003163166483194854,0.0827300930713547
Rectory Road,0.005,0.006630504833512365,0.0022180428912319874,0.08178286648947046
Stoke Newington,0.005,0.00720903449098939,0.0022294238082896864,0.08285004142502071
Stamford Hill,0.005,0.009012471655328798,0.002148070415878504,0.08469193309337286
Seven Sisters,0.01,0.09460419175644744,0.0038885075776081616,0.09070294784580499
Bruce Grove,0.005,0.04409774436090226,0.002182268480454187,0.08348987685243164
White Hart Lane,0.005,0.03929824561403509,0.0023107135650149613,0.07730962504831851
Silver Street,0.005,0.034473684210526316,0.0023734392076520273,0.07195538765965101
Edmonton Green,0.0075,0.029724310776942358,0.003593149845303959,0.06727211570803902
Southbury,0.005,0.014924812030075188,0.0025207798187348255,0.06310143555765893
Turkey Street,0.005,0.009974937343358397,0.0026585469746048837,0.0594000594000594
Theobalds Grove,0.005,0.005,0.0028510238914024066,0.05609311457018651
Cheshunt,0.0025,0.0,0.0015865587755448055,0.05312084993359894
Liverpool Street,0.015,0.270806855251404,0.004599109031706286,0.11025358324145534
Enfield Town,0.0025,0.0,0.0015120596360350073,0.059329575793533075
Bush Hill Park,0.005,0.005,0.0026763228359483787,0.06306164275579379
Romford,0.0075,0.03277360066833751,0.0034433250172958424,0.059058024509080174
Emerson Park,0.005,0.009540517961570594,0.002382634779905559,0.05613247263541959
Upminster,0.005,0.0054323308270676695,0.0024297501511855234,0.05370569280343716
Clapton,0.005,0.014241072106673584,0.002216781099320689,0.07739938080495357
St James Street,0.005,0.013259421551714742,0.002226495218848178,0.0772499034376207
Walthamstow Central,0.0075,0.023409797491564435,0.0032135011690911193,0.07841599686336012
Wood Street,0.005,0.009974937343358397,0.002433003813119902,0.07278020378457059
Highams Park,0.005,0.005,0.0027022803905422015,0.06787714237230613
Chingford,0.0025,0.0,0.001522592568643347,0.06357279084551812
Richmond,0.0025,0.0,0.0014140125827261886,0.0665335994677312
Kew Gardens,0.005,0.005,0.002446294754988614,0.07126313914127917
Gunnersbury,0.0075,0.04063803357600353,0.0030735596044184233,0.07668711656441718
South Acton,0.005,0.036922047181445636,0.0021247475126622978,0.07927070947284978
Harrow & Wealdstone,0.005,0.02962406015037594,0.0025055985810011074,0.056625141562853906
Kenton,0.005,0.034473684210526316,0.002486139534314441,0.059907143926913285
South Kenton,0.005,0.03929824561403509,0.0024677158091589786,0.06357279084551812
North Wembley,0.005,0.04409774436090226,0.002436635878221926,0.06769334912844813
Wembley Central,0.005,0.048872180451127824,0.0023884935969198627,0.0723589001447178
Stonebridge Park,0.005,0.05362155388471178,0.0023003542057392326,0.07768498737618955
Harlesden,0.005,0.05834586466165414,0.002146463739382661,0.08382229673093043
Willesden Junction,0.0125,0.1513733201148614,0.0046696183381654995,0.09097111667045713
Kensal Green,0.005,0.09909361291034224,0.0020277572412515394,0.09195402298850575
Queen's Park,0.0075,0.10599973237567221,0.0030319860017910152,0.09462976105985332
Kilburn High Road,0.005,0.10570629043749341,0.0020683606053503306,0.09823182711198428
Acton Central,0.005,0.04072297808012088,0.002071590124738352,0.08454872120059184
Kensal Rise,0.005,0.029172584238373742,0.0020824865519335736,0.08644910309055544
Brondesbury Park,0.005,0.029603348649401343,0.0021503333669164247,0.08818342151675485
Brondesbury,0.005,0.03203860345307715,0.002098449607685591,0.09220839096357769
West Hampstead,0.01,0.056885538159974165,0.003811772466930944,0.09748964172556666
Finchley Road & Frognal,0.005,0.019831926949408187,0.0021102736950315334,0.09072352007257882
Hampstead Heath,0.005,0.017553776215430382,0.0021784954397035335,0.08616975441619991
Gospel Oak,0.0075,0.021394183510724883,0.003204355795805773,0.0861141011840689
Kentish Town West,0.005,0.009231205719927514,0.0022155671084631567,0.08628127696289906
Camden Road,0.005,0.011068029923293064,0.002197283006271068,0.08857395925597875
Caledonian Road & Barnsbury,0.005,0.014859144614783694,0.002073958524492861,0.09567089213106912
Highbury & Islington,0.01,0.16198541537827213,0.003605347237078842,0.10520778537611783
Canonbury,0.0075,0.027231885178313757,0.002976157275854041,0.09957679860592482
Dalston Kingsland,0.005,0.015395433931148256,0.0021592084426137,0.09578544061302682
Hackney Central,0.005,0.014445484653191456,0.002216508567525196,0.09400705052878966
Homerton,0.005,0.014338565569768612,0.0021755583658560305,0.09358914365933552
Hackney Wick,0.005,0.016319261356855377,0.002022846279567413,0.09626955475330927
Stratford,0.0225,0.2978457823852557,0.007665345428416678,0.10438413361169102
Whitechapel,0.01,0.013503247205314862,0.003447118372638654,0.09744214372716199
Shadwell,0.0125,0.04543222323485479,0.004317091599280837,0.10384215991692627
Wapping,0.005,0.006534670008354217,0.0019483052882401028,0.09596928982725528
Rotherhithe,0.005,0.0035827067669172937,0.0019770144841842778,0.09070294784580499
Canada Water,0.01,0.10764763640703467,0.003647362982584561,0.09350163627863488
Surrey Quays,0.01,0.0870981973331597,0.0041241347917176565,0.08902737591809481
New Cross Gate,0.005,0.04409774436090226,0.002254483093905269,0.08206811653672548
Shoreditch High Street,0.005,0.006752312328440152,0.0020336776275442004,0.09149130832570906
New Cross,0.0025,0.0,0.0012504336869779103,0.08176614881439084
Sydenham,0.0075,0.02479949874686717,0.003730069641021251,0.06232471174820817
Crystal Palace,0.0025,0.0,0.0014311528912505566,0.05867683731846853
Queens Road Peckham,0.005,0.04213161420868184,0.002244489447317138,0.0847996608013568
Peckham Rye,0.005,0.03957104612179796,0.0023392809687564583,0.08131734092295181
Denmark Hill,0.005,0.03755720198765307,0.0023788431945969985,0.07860090391039497
Clapham High Street,0.005,0.03659974883095178,0.002378724924667865,0.07759456838021339
Wandsworth Road,0.0075,0.039816540810901656,0.0035053115986864126,0.07804878048780488
Clapham Junction,0.005,0.03883157840488661,0.0022555146088343056,0.07941234862021045
West Brompton,0.01,0.07394955191007829,0.00356111763406379,0.0869376222560313
Imperial Wharf,0.005,0.041020890972018734,0.0020892444219710337,0.08216926869350863
South Hampstead,0.005,0.10826685852437733,0.001963722973842945,0.10343935867597621
Euston,0.0125,0.20832425399718657,0.004182825177647785,0.10982976386600769
Bushey,0.005,0.009974937343358397,0.0027142252885850554,0.04633920296570899
Watford High Street,0.005,0.005,0.0028872438260315395,0.044301694539816146
Carpenders Park,0.005,0.014924812030075188,0.002613419247391924,0.048561369430617944
Hatch End,0.005,0.019849624060150377,0.0025600244738562916,0.05099439061703213
Headstone Lane,0.005,0.024749373433583962,0.0025250578867756293,0.053669663222863276
Watford Junction,0.0025,0.0,0.0016023858340306488,0.04242681374628765
Upper Holloway,0.005,0.012529208573381467,0.002264313341628109,0.08049909438518817
Crouch Hill,0.005,0.009225276394449311,0.0023121681321618837,0.07613247049866768
Harringay Green Lanes,0.005,0.008206331575692467,0.002295090855952138,0.07530120481927711
South Tottenham,0.005,0.00944286446636071,0.0022086718062444403,0.07662835249042145
Blackhorse Road,0.01,0.04258639293037791,0.00404160183695631,0.08016032064128256
Walthamstow Queens Road,0.005,0.0174591592617908,0.0022204948736715235,0.07578628268283441
Leyton Midland Road,0.005,0.014915821751348035,0.002322492027768377,0.07330034817665385
Leytonstone High Road,0.005,0.013446001367053963,0.0023656132807872827,0.07209805335255948
Wanstead Park,0.005,0.012800637958532701,0.002361585109938554,0.07132667617689016
