station_origin,station_destination,SIM_est_exp,flows,Ai_exp,Bj_exp
Wood Lane,Bow Road,0.0,0,3.7748125148846185e-06,1.0906787427367246
Ladbroke Grove,Newbury Park,0.0,1,3.1674623682181246e-06,2.659093733594962
Hoxton,Penge West,0.0,1,1.069218255714717e-05,2.6993448530088604
Grange Hill,Kennington,0.0,0,2.5190931457962594e-05,0.9426908694818505
St. James's Park,Queensbury,0.0,0,1.8015220287849142e-06,2.7135166046153465
Ladbroke Grove,North Harrow,0.0,0,3.1674623682181246e-06,2.0569309515117666
St. James's Park,Preston Road,0.0,0,1.8015220287849142e-06,1.7526829321675326
St. James's Park,Pinner,0.0,0,1.8015220287849142e-06,2.236695963978737
St. James's Park,Perivale,0.0,0,1.8015220287849142e-06,3.2252332096710226
Grange Hill,Lancaster Gate,0.0,5,2.5190931457962594e-05,1.1135110796731678
